,,S_ID,Sender,SMS,CLASS
Psy,79,z12ywjvgdtrhxdlz504cd1tquqvuhbs4abw,Angel,"Hi there~I'm group leader of Angel, a rookie Korean pop group. We have four  members, Chanicka, Julie, Stephanie, and myself, Leah. Please feel free to  check out our channel and leave some feedback on our cover videos (:  criticism is welcome as we know we're not top notch singers so please come  leave some constructive feedback on our videos; we appreciate any chance to  improve before auditioning for a Korean management company. We plan on  auditioning for JYP, BigHit, Jellyfish, YG or SM. Thank you for taking time  out of your day to read this !﻿",1
Psy,80,z122f1fy5muwdxdxd04cexyxes3hh5hrifc,Squir3,http://woobox.com/33gxrf/brt0u5 FREE CS GO!!!!﻿,1
Psy,81,z12jud4o3n34v5wph04ce3db0y2njn55gog0k,Kaya Roberts,Admit it you just came here to check the number of viewers ﻿,0
Psy,82,z12xxjkwevvjzvvms22xz3sjqovty3qip04,Prim N.,"Just coming to check if people are still viewing this video. And  apparently, they still do.﻿",0
Psy,83,z13ydfww3ruysvtmv23muhspwqqjszwjc04,James Ridge,Check my first video out﻿,1
Psy,84,z13vs53zipmszf1ib04cerd5xlmzdz5qlzw0k,Minecraft-Viasat,Check my channel﻿,1
Psy,85,z13wzt5yezvhsboz104cjlkqalz0fpcglmk0k,Alessio Siri,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
Psy,86,z135fnx4ntvdx1rzn04cih1ihmqtsrbzcno0k,Backup Plus,Suscribe My Channel Please XD lol﻿,1
Psy,87,z13dztbi0nnvdruas04cjrmjwrnvvd4jxjw,Almighty Toffeebomb,Wow. Comments section on this still active. Not bad. Also 5277478 comments.  (Now 79)﻿,0
Psy,88,z13hgfzhnrj3sx0m222sfbo4drq1e5xyp04,Meth Lover,http://binbox.io/1FIRo#123﻿,1
Psy,89,z12pzpvbfl2igbwhe04cihtpuwymvr5gvsg0k,NstyIC Gold,Ching Ching ling long ding ring yaaaaaa Ganga sty FUCK YOU.﻿,0
Psy,90,z12wvpdwfzzkfrerq04civhigpqrcxmxjzc0k,Никита Безухов,https://www.indiegogo.com/projects/cleaning-the-pan--2    please halp me  with my project﻿,1
Psy,91,z13tdv5jmlfpzj1rf04cd3ng4ljqjngxflg0k,Михаил Панкратов,There is one video on my channel about my brother...﻿,1
Psy,92,z12ufn5puwnve3b2k22ntjqogym0fllgb04,Angek95,"Check my channel, please!﻿",1
Psy,93,z13xslra3myri3jsn22hs1wxbyuvxplr004,Arianna Leighton,"Does anyone here use gift cards like Amazon, itunes, psn, google play,  itunes, or any other gift cards? Then you'll be happy to know you can get  free gift card codes for free from an amazing site. Here is a $50 itunes  gift card code XXBB5TCZHM39HVZD﻿",1
Psy,94,z132v5iajkjuhfkyn04cg3mxclnnzj0yxmo0k,richardex8,Why does this video have so many views? Because asian things are awesome and non-asian countries are jelly so they  try to learn from asia by looking at this video d:﻿,0
Psy,95,z12mtx5hxnutsxzfn23tsljjrm2mwxtwm04,Олег Пась,Plizz withing my channel ﻿,1
Psy,96,z121ft552pzpzhiab04cffmwitfii3lr5v40k,Crooked Gaming,I made a gaming channel (Unique right?) :L Angry Minecraft!﻿,1
Psy,97,z135jnejqyylxvxc323tifugxr3idl1oq04,Monwar Sarkar,Please help me go here http://www.gofundme.com/littlebrother﻿,1
Psy,98,z13zfpqpvpyvwfymk232ux4odsr1s5wm0,Jack ToadROXMK,Anybody who subscribes to me will get 10 subscribers﻿,1
Psy,99,z13sx1mitrmpcls3f22hi5ep1yq5cvmld,roflcopter2110,http://thepiratebay.se/torrent/6381501/Timothy_Sykes_Collection﻿,1
Psy,100,z13juvrhisuzsfczo04cgnsxhlfdiz2rhho,Imprezzi Vidzz,"My videos are half way decent, check them out if you want.﻿",1
Psy,101,z130gviqarmshdnau04cdzigvs3jepx4qw00k,khir abqari,"they said this video are not deserve 2billion views , while they keep  visiting it to watch the viewer . ﻿",0
Psy,102,z12zdj5ptyzpurkan04chtsqjszjxfmrk2w,Gloria Garcia,subscribe to itz recaps and above diddle﻿,1
Psy,103,z12li5throi5u540y220chro4nn5gl52k,xSparkShark,Screw this Chinese crap i dont even understand what he is saying. Why isn't  he speaking English like everyone should?﻿,0
Psy,104,z13dsnfaozyyil4m322jijgx5m3aehem2,Emerson Zanol Zanol,need money?Enjoy https://www.tsu.co/emerson_zanol﻿,1
Psy,105,z13tczojhrqbjhv2c23kfby5wpysgpopa04,Lars Zaadstra,Sub to my channel visuelgamingzNL I sub back﻿,1
Psy,106,z13qgx0yzwf1uj1xm04ccbkhjnrsgz0i41g,firo mota,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,1
Psy,107,z13qgviizlv1d1c1422lylyahqz2h1zm5,Connor Groom,sub me if you dont like the song﻿,1
Psy,108,z13sgnbzkwjqhhd5004cfzaheobvzbuopyg0k,Kaiser Dragon,This is a weird video.﻿,0
Psy,109,z13etzhwwvzye1oav04cehnitxf5cx2xkts0k,Monster Sifou,8 million likes xD even the subscribers not 8 million xD﻿,0
Psy,110,z123jlf4lzjbgpbcr23yhxyqbpe3gxpvm,TIGERIO_,EHI GUYS CAN YOU SUBSCRIBE IN MY CHANNEL? I AM A NEW YOUTUBER AND I PLAY  MINECRAFT THANKS GUYS!... SUBSCRIBE!﻿,1
Psy,111,z13kfzqicymszt0jp04ci5gqvqemyb2jsp00k,OFFICIAL LEXIS,Hi everyone! Do you like music? Then why not check out my music channel.  The LEXIS band will be uploading their own songs and covers soon so don't  miss out. Please SUBSCRIBE too as it does help us out a lot. Just takes one  click. -&gt;﻿,1
Psy,112,z12ftpab5svihfffz23kf3iiymiwjzesi,trespasser4000,This song never gets old love it.﻿,0
Psy,113,z13oyfkydl30exyip04cejozdtahgvx44ao,Pat M,gofundme.com/grwmps﻿,1
Psy,114,z13cyzbbqsrxyfaec23xc10rdrrqgd0ch,Malin Linford,"Hey guys please check out my new Google+ page it has many funny pictures,  FunnyTortsPics  https://plus.google.com/112720997191206369631/post﻿",1
Psy,115,z13jsrtahyyqv53jc04cdr4bcwfwg3lauek,kenny clayton,#2012bitches﻿,0
Psy,116,z135f3rwwnjafnnrv04cirmifl3lipewgl40k,Akymonix,Made in china....﻿,0
Psy,117,z13lip25arigch3rj04cf1ko0pnczzyrtng0k,Gaming Land,5 milions comentars and 2 bilion views﻿,0
Psy,118,z13mzp44ul21sdqcj22sgriokxyuy5det,tom hawksbee,It is 0 zero﻿,0
Psy,119,z12rsjsiimjkjfkwt04ccbgosvrbgxupxu00k,Norman Reid,Mix - PSY - GANGNAM STYLE (강남스타일) M/V: PSY - GANGNAM STYLE (강남스타일) M/V﻿,0
Psy,120,z13wfr2rbwytwbhf123cs1l5lz2aefdex,Emily Hamilton,This has had over 2 billion views.  Holy shit.﻿,0
Psy,121,z13vx3kbgmq5fnlgj04cfdoqtpfyw5xqzuc0k,rolle54100,"how can there be 2.124.821.694 views, when im the only person alive after  the zombie apocalypse - greetings, spoderman :)﻿",0
Psy,122,z135vx5jfu2mfvwvr22cj11wupbtfr1gz04,MrBrunoExtreme,Suscribe my channel please﻿,1
Psy,123,z13pdjsgqkjjtnlqz04cgtxafxqtylmixxg0k,xMasterGGx,"2,124923004 wiews... wow﻿",0
Psy,124,z12jc1uququpzbsoq04cg15poyfsxpvoojw,pro stomper,guys please subscribe me to help my channel grow please guys﻿,1
Psy,125,z124i3ygclj0xn4ly22jzb5a2ubvtbev1,Abdinasir Omar,Great music anyway﻿,0
Psy,126,z12kuncrps35wp1l0220s3t4ym32dtpin04,Aleksaivan Neidert,PSY - GANGNAM STYLE (강남스타일) M/V: http://youtu.be/9bZkp7q19f0﻿,0
Psy,127,z123gnabnwbqtr1e022jejij0zzzez2os04,Luat ha hpuoc,"so crazy, over 2 billion views, not US, not Uk, its Korea republic, its  asia﻿",0
Psy,128,z121jvbjakmbehsys04ce5yj1y3hxx0hzsk0k,abdellah chafouai,Discover a beautiful song of A young Moroccan     http://www.linkbucks.com/AcN2g﻿,1
Psy,129,z13xhp2xmkeowtbyo04cffggylf3yjjpsns0k,Brotha B,"Like getting Gift cards..but hate spending the cash.... Try Juno Wallet !!! At Juno Wallet you can earn money for gift cards such as ; Nike, Gamestop,  Amazon , Ebay Etc &amp; its easy  Earn money by doing simple task like watching videos..downloading apps &amp;  you can even earn money by inviting your friends to join...its free for  signup Sign up today &amp; use promo code BD3721315﻿",1
Psy,130,z12dzlpo0ueie1go404cfjjwsxf1g1lrtdo,Amir effect,Can somebody wake me up when we get to 3 billion views.﻿,0
Psy,131,z12jxvuzgxusjl1jw04ccxshdwyfx1pjzfk,lakis constantinou,PSY GOT LOTS  OF MONEY FROM YOUTUBE THAT HE GOT FROM 2 BILLION VIEWS THIS  IS THE MOST VIEWS IN THE WORLD :D﻿,0
Psy,132,z13dgdl4hyirg3gcd23pw3nw0zrsebpqb04,just a filthy kafir,Justin bieber = gay ﻿,0
Psy,133,z13gypjrmumhxromj23jyjhhenvdgpuxh04,HarveyIsTheBoss,You gotta say its funny. well not 2 billion worth funny but still. It  clicked and everything went uphill. At least you don't have JB's shit on  #1.﻿,0
Psy,134,z12wilyi3mzzjlzkw225hrzrxvb4tjgln,M7AMDksa,❤️ ❤️ ❤️ ❤️ ❤️❤️❤️❤️﻿,0
Psy,135,z12uw5z5roiqel3ds22iifbhbmnijn1qz04,Noah François,"Ahhh, 2 years ago....﻿",0
Psy,136,z12wsx5amr3ahbgl122mc5qr5v23vnist,Neely Nesley,"Dance dance,,,,,Psy  http://www.reverbnation.com/msmarilynmiles﻿",1
Psy,137,z122f10gdvathpo2222pshcxxpjliddjv04,BmwManDexter,"check out ""starlitnightsky"" channel to see epic videos﻿",1
Psy,138,z13ghjrh5vqbetiw104chhdrlsv0szfqbxk0k,KodysMan Dunt Know,https://www.tsu.co/KodysMan plz ^^﻿,1
Psy,139,z13nwn54ukukyhdfb223vttqnu31hvf4k04,nachopinca3901,Stupid people... this video doesnt have 2 billion visits. Have 2 thousands  millions﻿,0
Psy,140,z12kcx2ahwmpupnw004cdt3rwqfes3xgbns0k,Mehmet Demirel,http://www.gcmforex.com/partners/aw.aspx?Task=JoinT2&amp;AffiliateID=9107﻿,1
Psy,141,z12udxjwpwurtlwz304ccbrhdtusth4herk0k,PacKmaN,check men out i put allot of effort into my music but unfortunatly not many  watch it﻿,1
Psy,142,z13ky1cgzpjpvdpp004chhebvqnkhnpjmzo0k,Alessandro leite,pls http://www10.vakinha.com.br/VaquinhaE.aspx?e=313327 help me get vip gun  cross fire al﻿,1
Psy,143,z121cngqep23db2o404cjf4zvsf2cjerdaw,TLouX music,Add me here...https://www.facebook.com/TLouXmusic﻿,1
Psy,144,z13osluqrpefv1hd323idhejzxanc3ai004,Tyrek Sings,CHECK MY CHANNEL OUT PLEASE. I DO SINGING COVERS﻿,1
Psy,145,z12ehhxzutqbsjrpq04ccjlqhrv5y3dzkn40k,NursePoison,I think this is now a place to promote channels in the comment section lol.﻿,0
Psy,146,z12bv5zxvpryjjspn04cdfwz5lrtzjhooqw0k,Peter Johnson,Get free gift cards and pay pal money!﻿,1
Psy,147,z12zstfhixudundzf04cjbsp0rjrzh1rw3k,MiningBip3,Check out pivot animations in my channel﻿,1
Psy,148,z13zxdkalk3ryvxr004cj1vabkn2dvcyusg0k,Ju`Wan Wright,Follow me on twitter &amp; IG : __killuminati94﻿,1
Psy,149,z12zjztrvlnafvk2n230wjmztyfxxpbk2,CronicleFPS,Check me out I'm all about gaming ﻿,1
Psy,150,z12mzferzsanzhld022fhhdarrusivwkq,marye,Oppa! Yeah! Best Song!﻿,0
Psy,151,z13cydjppmiostv1l22dtzd5xnbjebax004,Giang Nguyen,More... http://www.sunfrogshirts.com/Sunglass-World.html?24398﻿,1
Psy,152,z13hubqrnwquen2gu04cdbbx4rqgxxcwvo00k,Giang Nguyen,https://www.facebook.com/teeLaLaLa﻿,1
Psy,153,z13xsxxqlxnzz3d3g22wfjx5lsrjgpaic04,MasterRobotTV,http://www.twitch.tv/zxlightsoutxz﻿,1
Psy,154,z13zjbvbeszjcvdsx22ww5cgcrydzlf5u04,ROB YSF,reminds me of this song https://soundcloud.com/popaegis/wrenn-almond-eyes﻿,1
Psy,155,z12yinh5ks2oinqzn04cctkgvvrohbrazvo0k,Rancy Gaming,What free gift cards? Go here  http://www.swagbucks.com/p/register?rb=13017194﻿,1
Psy,156,z13mtrjqsqzliho5w04cex3zmoqfvnpgyys0k,FatPocketsTv,"Search ""Chubbz Dinero - Ready Or Not "" Thanks ﻿",1
Psy,157,z12lg1vizrmsgxm3q23oij4aqrjxjdd1p,Holly,Follow me on Twitter @mscalifornia95﻿,1
Psy,158,z13zhhualofpyz22z22pydei0oeyt5abc04,unknown,😫😓😏😪😔😖😌😭😎😚😘😙😗😋😝😜😛😍😒😞😷😶😵😳😲😱😟😰😩😨😧😦😥😤😣😮😴😢😡😠😬😕😑😐😯😉😈😇😆😅😄😃😂😁😀😊☺  every single types of face on earth﻿,0
Psy,159,z12sil2ziqneyjxpx04cehcgcsmmcr1a3ew,"thevlogmasters Vlog, Challenges en nog veel meer!",▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ ＤＡＭＮ ＴＨＩＳ ＣＯＭＭＥＮＴ ＩＳ ＦＡＮＣY ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬﻿,0
Psy,160,z12scr5ixnexwh2xa04civ3o3k25dr3wkfw,Freddie Barton,CHECK MY CHANNEL FOR MY NEW SONG 'STATIC'!! YOU'LL LOVE IT!!﻿,1
Psy,161,z13actcqdm31slqqu04cctub4n2nw1swwy00k,Sean Ortiz,Incmedia.org where the truth meets you.﻿,1
Psy,162,z13dvrmxorf0cnj0423rsfcjlxevgjwll,ZodexHD,look at my channel i make minecraft pe lets play ﻿,1
Psy,163,z12oep2i2ybiyn0sy23tc1uptrmkhxbse,Andr3wco7,I found out this song now﻿,0
Psy,164,z13huxgx5rikd13v422khjnjusyvzxx4c04,michelle clough,2 BILLION!!!﻿,0
Psy,165,z12qzzbpbzn4c5zwu04cir5gmzfozhy4cjk,lebanonwarior1,Song name??﻿,0
Psy,166,z13mebgjooulgzdkt23kzvlqjyrzx32n0,amine moha,please like : http://www.bubblews.com/news/9277547-peace-and-brotherhood﻿,1
Psy,167,z12tzt2pluixhpbs4221xveiiqafd3epw04,PacKmaN,hey again if you guys wouldnt mind chacking out my rap give it like and il  giver 3 of your vids a like﻿,1
Psy,168,z13udh04hqjeyney404cgloh0vbegbmgvq40k,fad lad,http://www.amazon.co.uk/gp/offer-listing/B00ECVF93G/sr=8-2/qid=1415297812/ref=olp_tab_refurbished?ie=UTF8&amp;condition=refurbished&amp;qid=1415297812&amp;sr=8-2 ﻿,1
Psy,169,z13dtz1zzkagdromt230g5cqfsejstr3p,Digital Media Butterfly,"The most watched video on YouTube is Psy’s “Gangnam Style”, with 2.1  billion views. PSY - GANGNAM STYLE (강남스타일) M/V﻿",0
Psy,170,z12ox3a5vviky5ctq22nz1ewpo24wxyis04,JackTheLad,Subscribe to me and I'll subscribe back!!!﻿,1
Psy,171,z13zy52aayqxsx5nr23curipvrretdy35,JoelR Ch,http://flipagram.com/f/LUkA1QMrhF﻿,1
Psy,172,z12sitjpgyy3f5j2322iy1figqa4vnyja04,OverSpace33,For Christmas Song visit my channel! ;)﻿,1
Psy,173,z12nejhigtr0tdvy504cgfcrhzvycxzin0k,Detroit Red Wings,http://www.gofundme.com/gvr7xg﻿,1
Psy,174,z13chfswltzzyhys1234dvkb3r2ien0ld,DirtySouthFlorida3,Subscribe to me i subscribe back!!!! Plus i have a nice ass lol﻿,1
Psy,175,z12tul0onm20hffur22qxhs5mvijddfj404,David Boček,https://www.change.org/p/facebook-twitter-youtube-do-not-censor-julien-blanc ﻿,1
Psy,176,z121hjrymmf2jh4rf04cjrybiyfotjmof1g,Jackal James,https://soundcloud.com/jackal-and-james/wrap-up-the-night﻿,1
Psy,177,z120wncjevujt1aju04cff4b1yfcvhrbpis,Goran Theboss,https://www.surveymonkey.com/s/CVHMKLT﻿,1
Psy,178,z124y1czouyechz4j04citox1mn1wz5pmos0k,YoungBrothersRecords,Please give us a chance and check out the new music video on our channel!  You won't be disappointed.﻿,1
Psy,179,z12yu11xyumitzpho04cix1y3zn3ijrpcm40k,Chinsoman Films,Please subscribe to me﻿,1
Psy,180,z13hfnup3tmvxhqfx22yvx4qnwj2gjj2a,Moymoy Palaboy,"This is the best, funny and viral video of history (youtube) THE TRUE﻿",0
Psy,181,z13neh044nq2wn0o404citkh2taufzqxuz40k,Mason Sieverding,Please check out my vidios﻿,1
Psy,182,z12uwhfpwnfrepmhg04ccx2ioxqzip4o0xw0k,VIP 2NEXO,OPPA GANGNAM STYLE!!!﻿,0
Psy,183,z12kttwqvzi4fd0ei23rdp4xjt2ef5hbk04,Gaming 101,"The funny thing is, 1,700,000,000 of the views are spam bots. I mean c'mon  2 BILLION views? BS!﻿",0
Psy,184,z131xnjjtqeyh5dy304cfhm50vagttfyemg0k,Chack Jason,OPPA &lt;3﻿,0
Psy,185,z122dfb5htjxgpbot04cdj1aikatybbjsb0,Kitts Hausman,It's so funny it's awesomeness lol aaaaaaa sexy lada😂﻿,0
Psy,186,z133xzqp3ubgyf2ko22osxkrfzvbd5b2y,TheInfectedDoge Gameplay,most viewed video in the world﻿,0
Psy,187,z122srjbvovwzxg0522yd1i4ty3kznxqs04,Warrdrew,I'm here to check the views.. holy shit﻿,0
Psy,188,z13lezboqn35jtqlm23mcpgp3tjbghmvk,Parssa Alimadad,"Dear person reading this, You are beautiful and loving Have a great day﻿",0
Psy,189,z132yfjb1q2aupnvp224it3zdlfgebvxy04,Adrian Skalak,http://www.ermail.pl/dolacz/V3VeYGIN CLICK  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN  http://www.ermail.pl/dolacz/V3VeYGIN﻿,1
Psy,190,z12av324qzztf5tan04ci1kycxbnf3u4f4g,BeatBoxBaaa,Have you tried a new social network TSU? This new social network has a  special thing.You can share the posts as well as on fb and twitter and even  to'll get paid You can registr here:  https://www.tsu.co/WORLDWIDE_LIFE﻿,1
Psy,191,z12aillowmuftn5l022cv3hwbofjctgch,Cool Ong,The Guy in the yellow suit kinda looks like Jae-suk ﻿,0
Psy,192,z13xtdlovm2hzl05d04ccz1pnvqtezdriqc0k,Uroš Slemenjak,"People, here is a new network like FB...you register also free, the  difference is only that you get paid for sharing, commenting and liking  posts and so one...don't waste your time on fb for sharing and not being  paid!! Register here to make also money with your everyday posts!!  https://www.tsu.co/slema13 Wellcome to everyone! ;)﻿",1
Psy,193,z130xbcwfnj5vlskv23airsxqqfqvhl5504,Adam Mudd,How are there 2 billion views and theres only 2 million people in the  world!?!?!?!! MULTIPLE ACCOUNTS!!!1111﻿,0
Psy,194,z12kix1zlmz3fhmhf04cipe5qpvsxrezbpg0k,Cromwell John Pascual,WAT DA FUCK THIS THE MOST VIEWED VIDEO IN YOUTUBE!﻿,0
Psy,195,z12mx3zj3pqigd3nb23xtpzwnriczf0zo04,Starfire003,OMG 2/7 People watched this video because there are 7 billion people in the  world and 2 billion watched this﻿,0
Psy,196,z12afdtaypuat3t5s04ccv4g4xe1elvbcdw,Lindsay Wofford,What is he saying?!?!?!?!?!?!?!?$? ﻿,0
Psy,197,z123gh5o1pibgntf222einrisrfasnha104,Romeo Sweeney,this has so many views﻿,0
Psy,198,z13xgr1w3oeycnszq04cihybwtimi3vqc40,Thanh Phong,OMG over 2 billion views!﻿,0
Psy,199,z13mc51qfqeozdpun23kgri5kzjnjpitj,Callum Barr,Subscribe to me plz plz plz plz plz plZ ﻿,1
Psy,200,z13yeb25wmevhpg3s22chjtxoszvgxxxl04,funtimekid1199,http://www.twitch.tv/tareko100 Follow him on twitch and enter the keyword  !5800 and you'll have a chance of winning a really nice and expensive gun  for csgo that you can sell on the steam market﻿,1
Psy,201,z13qgpqwlqbgj5jqy04cgnjqruv0gpdaino0k,css403,"i am 2,126,492,636 viewer :D﻿",0
Psy,202,z12wjxmyvzr1yps4d04cfrexyorisrfqpc0,Dovydas Baranauskas,https://www.tsu.co/Aseris get money here !﻿,1
Psy,203,z13cc1abmqz5cjpkc223ybzavyibznjey,전광용,Fantastic!﻿,0
Psy,204,z121eftbimqgy1p5504cjx24tpvbjrpisnc0k,sagar basnet,The population of world is more than 7 billion﻿,0
Psy,205,z121yttbfpyxw1dya04cgtq4clasebvoib4,Vitor Belliny,2.126.521.750  views!!!!!!!!!!!!!!!!!﻿,0
Psy,206,z130zp15xof5db0x204cfv55awj1wl3aipc0k,Gianpaolo T,Wow 23 min ago﻿,0
Psy,207,z12ufrszxq3zstw0r22yfbipvqvaypold,josson 64,SUPER!!! !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!﻿,0
